AP_Name,floor,x,y
AP-C0-1F-01,1,15.5,-1
AP-C1-1F-01,1,33.8,22.8
AP-C1-1F-02,1,32.4,22.8
AP-C2-1F-01,1,-1,21.8
AP-C2-1F-02,1,1,31
AP-C2-1F-03,1,-1,41.4
AP-C3-1F-01,1,12.9,57
AP-C3-1F-02,1,26.2,57
AP-C0-2F-01,2,23.6,1
AP-C0-2F-02,2,10.2,1
AP-C0-2F-03,2,21.6,4.8
AP-C0-2F-04,2,28.4,-6.2
AP-C1-2F-01,2,39.1,28
AP-C1-2F-02,2,39.1,20.7
AP-C1-2F-03,2,31.9,20.9
AP-C1-2F-04,2,30,23
AP-C2-2F-01,2,-1,18.2
AP-C2-2F-02,2,1,30.2
AP-C2-2F-03,2,-1,42.7
AP-C3-2F-01,2,4.7,55
AP-C3-2F-02,2,14.8,57
AP-C3-2F-03,2,28.6,55
AP-C0-3F-01,3,30.1,1
AP-C0-3F-02,3,20.8,-1.1
AP-C0-3F-03,3,9.1,1
AP-C0-3F-04,3,-1.9,-11.2
AP-C0-3F-05,3,19,3.5
AP-C1-3F-01,3,31.5,15.8
AP-C1-3F-02,3,34,23.2
AP-C1-3F-03,3,27.4,26.4
AP-C2-3F-01,3,-1,15.6
AP-C2-3F-02,3,1,30.7
AP-C2-3F-03,3,1,44.2
AP-C3-3F-01,3,4.6,57.3
AP-C3-3F-02,3,13.6,55.3
AP-C3-3F-03,3,25.7,57.3
AP-C0-4F-01,4,33,1
AP-C0-4F-02,4,24.5,-1
AP-C0-4F-03,4,8.2,1
AP-C0-4F-04,4,-2.2,-11.4
AP-C0-4F-05,4,19,3.5
AP-C1-4F-01,4,36.7,22.5
AP-C1-4F-02,4,32.4,22.8
AP-C2-4F-01,4,-1,20.8
AP-C2-4F-02,4,1,31
AP-C2-4F-03,4,-1,43.3
AP-C3-4F-01,4,10.1,55
AP-C3-4F-02,4,23.8,57
AP-C0-5F-01,5,32,1
AP-C0-5F-02,5,24.6,-1
AP-C0-5F-03,5,11.8,1
AP-C0-5F-04,5,-2.2,-11.4
AP-C0-5F-05,5,19,3.5
AP-C2-5F-01,5,-1,20.9
AP-C2-5F-02,5,1,31
AP-C2-5F-03,5,-1,43.2
AP-C3-5F-01,5,10.2,55
AP-C3-5F-02,5,24.3,55
AP-C0-6F-01,6,31.1,1
AP-C0-6F-02,6,22.1,-1
AP-C0-6F-03,6,8.3,1
AP-C0-6F-04,6,-2.2,-11.4
AP-C2-6F-01,6,-1,20.9
AP-C2-6F-02,6,1,31
AP-C2-6F-03,6,-1,42.4
AP-C3-6F-01,6,9,55
AP-C3-6F-02,6,26.2,57
