method,ave,median,p90,within_2m
centered_fp,2.0823543940559244,1.3730965075754362,4.113937259078382,0.711864406779661
cla,7.023452754540772,6.529335511537313,12.41331809839025,0.11864406779661017
gp_corridor,0.7248915512898838,0.5022457520234269,1.7391334010005193,0.8983050847457628
multiband_wcl,3.8158480648819952,3.485320517336594,6.445502869370143,0.2033898305084746
pbl,4.517736691243525,3.66742416417845,7.982935919032528,0.23728813559322035
rank_fp,2.7045793406752034,1.3462751227569711,3.880380560819257,0.7627118644067796
studentt_fp,2.3227326949654867,1.9991865182853275,4.002803015882149,0.576271186440678
wcl,3.512498697049763,2.814764938962698,6.091042791767084,0.3050847457627119
wcl_blacklist,3.7730338540654893,2.8709266736738646,7.323874133160824,0.3050847457627119
wcl_corridor,3.314041574277657,2.7655518905040495,6.003137539455284,0.4067796610169492
wcl_linpower,3.364771896013148,2.8167943200803895,6.065524928077482,0.3559322033898305
wcl_powerdomain,3.5124986970497614,2.814764938962698,6.091042791767084,0.3050847457627119
wcl_topl,3.5229254817801015,2.8709266736738646,6.091042791767084,0.3050847457627119
wcl_varweight,4.0393054711081495,3.3362109325105993,7.604697919512761,0.3220338983050847
wknn,2.0658855426346734,1.3441332035742377,4.145173505405437,0.711864406779661
